0.084,0.0683,-0.0084,0.0000,0.0000,
0.089,0.1531,-0.0077,0.0000,0.0000,
0.093,0.2314,-0.0077,0.0000,0.0000,
0.098,0.3226,-0.0074,0.0000,0.0000,
0.102,0.4022,-0.0051,0.0000,0.0000,
0.106,0.4812,-0.0055,0.0000,0.0000,
0.110,0.5308,-0.0068,0.0000,0.0000,
0.114,0.5611,-0.0061,0.0000,0.0000,
0.118,0.5553,-0.0042,0.0000,0.0000,
0.123,0.5015,-0.0064,0.0000,0.0000,
0.127,0.4016,-0.0061,0.0000,0.0000,
0.131,0.3345,-0.0071,0.0000,0.0000,
0.135,0.2839,-0.0061,0.0000,0.0000,
0.139,0.2372,-0.0087,0.0000,0.0000,
0.141,0.2130,-0.0058,0.0000,0.0000,
0.144,0.1914,-0.0068,0.0000,0.0000,
0.146,0.1731,-0.0087,0.0000,0.0000,
0.149,0.1570,-0.0074,0.0000,0.0000,
0.151,0.1431,-0.0077,0.0000,0.0000,
0.154,0.1328,-0.0071,0.0000,0.0000,
0.156,0.1228,-0.0087,0.0000,0.0000,
0.159,0.1125,-0.0084,0.0000,0.0000,
0.161,0.1048,-0.0071,0.0000,0.0000,
0.164,0.0967,-0.0068,0.0000,0.0000,
0.167,0.0890,-0.0077,0.0000,0.0000,
0.170,0.0832,-0.0071,0.0000,0.0000,
0.172,0.0770,-0.0074,0.0000,0.0000,
0.175,0.0725,-0.0077,0.0000,0.0000,
0.178,0.0683,-0.0077,0.0000,0.0000,
0.182,0.0625,-0.0071,0.0000,0.0000,
0.186,0.0600,-0.0077,0.0000,0.0000,
0.190,0.0593,-0.0080,0.0000,0.0000,
0.194,0.0590,-0.0077,0.0000,0.0000,
0.199,0.0593,-0.0093,0.0000,0.0000,
0.203,0.0629,-0.0087,0.0000,0.0000,
0.207,0.0641,-0.0077,0.0000,0.0000,
0.211,0.0635,-0.0077,0.0000,0.0000,
0.215,0.0629,-0.0074,0.0000,0.0000,
0.219,0.0645,-0.0077,0.0000,0.0000,
0.223,0.0651,-0.0077,0.0000,0.0000,
0.227,0.0654,-0.0080,0.0000,0.0000,
0.231,0.0648,-0.0080,0.0000,0.0000,
0.236,0.0661,-0.0064,0.0000,0.0000,
0.240,0.0661,-0.0077,0.0000,0.0000,
0.244,0.0670,-0.0077,0.0000,0.0000,
0.248,0.0667,-0.0074,0.0000,0.0000,
