Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
0.061629,1.718610,1.000000,1.000000
0.065831,1.719963,1.000000,1.000000
0.064430,1.725376,1.000000,1.000000
0.067232,1.726729,1.000000,1.000000
0.060228,1.722670,1.000000,1.000000
0.061629,1.722670,1.000000,1.000000
0.058828,1.725376,1.000000,1.000000
0.065831,1.728083,1.000000,1.000000
0.063030,1.729436,1.000000,1.000000
0.064430,1.729436,1.000000,1.000000
0.064430,1.732142,1.000000,1.000000
0.061629,1.729436,1.000000,1.000000
0.063030,1.732142,1.000000,0.999991
0.063030,1.729436,1.000000,0.999991
0.063030,1.734849,1.000000,0.999991
0.065831,1.730789,1.000000,0.999991
0.064430,1.733496,1.000000,0.999991
0.058828,1.730789,1.000000,0.999991
0.060228,1.734849,1.000000,0.999991
0.064430,1.737555,1.000000,0.999991
0.063030,1.733496,1.000000,0.999991
0.063030,1.738908,1.000000,0.999991
0.063030,1.740262,1.000000,0.999991
0.064430,1.738908,1.000000,0.999991
0.067232,1.742968,1.000000,0.999991
0.063030,1.740262,1.000000,0.999991
0.063030,1.741615,1.000000,0.999991
0.061629,1.744321,1.000000,0.999991
0.063030,1.744321,1.000000,0.999991
0.064430,1.744321,1.000000,0.999991
0.061629,1.745675,1.000000,0.999991
0.063030,1.749734,1.000000,0.999991
0.061629,1.745675,1.000000,0.999991
0.065831,1.749734,1.000000,0.999991
0.064430,1.749734,1.000000,0.999981
0.060228,1.755147,1.000000,0.999981
0.063030,1.752441,1.000000,0.999981
0.068632,1.755147,1.000000,0.999981
0.058828,1.753794,1.000000,0.999981
0.063030,1.751088,1.000000,0.999981
0.068632,1.759207,1.000000,0.999981
0.064430,1.757854,1.000000,0.999981
0.063030,1.757854,1.000000,0.999981
0.061629,1.756501,1.000000,0.999981
0.064430,1.756501,1.000000,0.999981
0.057427,1.760560,1.000000,0.999981
0.060228,1.760560,1.000000,0.999981
0.063030,1.761913,1.000000,0.999981
0.065831,1.763267,1.000000,0.999981
0.060228,1.765973,1.000000,0.999981
0.061629,1.765973,1.000000,0.999981
0.063030,1.764620,1.000000,0.999981
0.063030,1.764620,1.000000,0.999981
0.065831,1.765973,1.000000,0.999981
0.060228,1.767326,1.000000,0.999981
0.060228,1.767326,1.000000,0.999972
0.063030,1.770033,1.000000,0.999972
0.063030,1.776799,1.000000,0.999972
0.063030,1.771386,1.000000,0.999972
0.064430,1.770033,1.000000,0.999972
0.057427,1.778152,1.000000,0.999972
0.061629,1.771386,1.000000,0.999972
0.064430,1.774093,1.000000,0.999972
0.060228,1.778152,1.000000,0.999972
0.065831,1.774093,1.000000,0.999972
0.058828,1.778152,1.000000,0.999972
0.061629,1.776799,1.000000,0.999972
0.063030,1.779506,1.000000,0.999972
