Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
-1.861477,-1.810630,1.000000,1.000000
-1.861477,-1.813336,1.000000,1.000000
-1.861477,-1.810630,1.000000,1.000000
-1.862877,-1.816043,1.000000,1.000000
-1.860076,-1.810630,1.000000,1.000000
-1.860076,-1.809277,1.000000,1.000000
-1.860076,-1.811983,1.000000,1.000000
-1.858675,-1.809277,1.000000,1.000000
-1.857275,-1.809277,1.000000,1.000000
-1.858675,-1.811983,1.000000,1.000000
-1.857275,-1.810630,1.000000,1.000000
-1.860076,-1.810630,1.000000,1.000000
-1.858675,-1.813336,1.000000,1.000000
-1.862877,-1.805217,1.000000,1.000000
-1.858675,-1.810630,1.000000,1.000000
-1.860076,-1.807924,1.000000,1.000000
-1.860076,-1.809277,1.000000,1.000000
-1.861477,-1.805217,1.000000,1.000000
-1.861477,-1.809277,1.000000,1.000000
-1.860076,-1.806570,1.000000,1.000000
-1.858675,-1.807924,1.000000,1.000000
-1.857275,-1.810630,1.000000,1.000000
-1.861477,-1.807924,1.000000,1.000000
-1.858675,-1.810630,1.000000,1.000000
-1.860076,-1.810630,1.000000,1.000000
-1.858675,-1.817396,1.000000,1.000000
-1.858675,-1.809277,1.000000,1.000000
-1.861477,-1.806570,1.000000,1.000000
-1.858675,-1.809277,1.000000,1.000000
-1.858675,-1.807924,1.000000,1.000000
-1.857275,-1.810630,1.000000,1.000000
-1.855874,-1.810630,1.000000,1.000000
-1.858675,-1.809277,1.000000,1.000000
-1.857275,-1.806570,1.000000,1.000000
-1.858675,-1.809277,1.000000,1.000000
-1.864278,-1.809277,1.000000,1.000000
-1.860076,-1.811983,1.000000,1.000000
-1.858675,-1.807924,1.000000,1.000000
-1.858675,-1.809277,1.000000,1.000000
-1.858675,-1.806570,1.000000,1.000000
-1.860076,-1.809277,1.000000,1.000000
-1.860076,-1.807924,1.000000,1.000000
-1.854473,-1.807924,1.000000,1.000000
-1.855874,-1.806570,1.000000,1.000000
-1.860076,-1.806570,1.000000,1.000000
-1.857275,-1.810630,1.000000,1.000000
-1.861477,-1.810630,1.000000,1.000000
-1.861477,-1.813336,1.000000,1.000000
-1.857275,-1.807924,1.000000,1.000000
-1.860076,-1.806570,1.000000,1.000000
-1.860076,-1.809277,1.000000,1.000000
-1.857275,-1.806570,1.000000,1.000000
