Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
4.277617,5.630821,1.000000,1.000000
4.276216,5.638940,1.000000,1.000000
4.273415,5.637587,1.000000,1.000000
4.277617,5.632174,1.000000,1.000000
4.276216,5.640293,1.000000,1.000000
4.277617,5.632174,1.000000,1.000000
4.286021,5.626761,1.000000,1.000000
4.270613,5.626761,1.000000,1.000000
4.277617,5.626761,1.000000,1.000000
4.279017,5.622701,1.000000,1.000000
4.276216,5.621348,1.000000,1.000000
4.276216,5.615935,1.000000,1.000000
4.280418,5.618641,1.000000,1.000000
4.276216,5.614582,1.000000,1.000000
4.276216,5.613228,1.000000,1.000000
4.277617,5.614582,1.000000,1.000000
4.274815,5.610522,1.000000,1.000000
4.279017,5.611875,1.000000,1.000000
4.279017,5.605109,1.000000,1.000000
4.280418,5.605109,1.000000,1.000000
4.276216,5.601049,1.000000,1.000000
4.276216,5.601049,1.000000,1.000000
4.273415,5.598343,1.000000,1.000000
4.281819,5.596990,1.000000,1.000000
4.277617,5.595636,1.000000,1.000000
4.279017,5.590223,1.000000,1.000000
4.279017,5.596990,1.000000,1.000000
4.279017,5.588870,1.000000,1.000000
4.283219,5.587517,1.000000,1.000000
4.279017,5.588870,1.000000,1.000000
4.281819,5.584810,1.000000,1.000000
4.279017,5.584810,1.000000,1.000000
4.276216,5.583457,1.000000,1.000000
4.276216,5.578044,1.000000,1.000000
4.280418,5.582104,1.000000,1.000000
4.281819,5.578044,1.000000,1.000000
4.279017,5.578044,1.000000,1.000000
4.279017,5.578044,1.000000,1.000000
4.281819,5.571278,1.000000,1.000000
4.283219,5.572631,1.000000,1.000000
4.279017,5.569925,1.000000,1.000000
4.281819,5.568572,1.000000,1.000000
4.281819,5.564512,1.000000,1.000000
4.276216,5.565865,1.000000,1.000000
4.283219,5.563159,1.000000,1.000000
4.280418,5.561805,1.000000,1.000000
4.281819,5.559099,1.000000,1.000000
4.280418,5.556392,1.000000,1.000000
4.279017,5.559099,1.000000,1.000000
4.280418,5.555039,1.000000,1.000000
4.286021,5.553686,1.000000,1.000000
4.286021,5.552333,1.000000,1.000000
4.281819,5.550979,1.000000,1.000000
