Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
-1.881086,-1.795744,1.000000,1.000000
-1.883887,-1.794391,1.000000,1.000000
-1.883887,-1.798451,1.000000,1.000000
-1.882486,-1.797098,1.000000,1.000000
-1.882486,-1.794391,1.000000,1.000000
-1.883887,-1.798451,1.000000,1.000000
-1.882486,-1.797098,1.000000,1.000000
-1.883887,-1.797098,1.000000,1.000000
-1.879685,-1.798451,1.000000,1.000000
-1.881086,-1.795744,1.000000,1.000000
-1.885288,-1.795744,1.000000,1.000000
-1.881086,-1.795744,1.000000,1.000000
-1.879685,-1.797098,1.000000,1.000000
-1.883887,-1.801157,1.000000,1.000000
-1.885288,-1.795744,1.000000,1.000000
-1.882486,-1.795744,1.000000,1.000000
-1.883887,-1.797098,1.000000,1.000000
-1.881086,-1.795744,1.000000,1.000000
-1.879685,-1.793038,1.000000,1.000000
-1.883887,-1.791685,1.000000,1.000000
-1.886688,-1.797098,1.000000,1.000000
-1.885288,-1.797098,1.000000,1.000000
-1.883887,-1.793038,1.000000,1.000000
-1.883887,-1.798451,1.000000,1.000000
-1.885288,-1.799804,1.000000,1.000000
-1.883887,-1.793038,1.000000,1.000000
-1.882486,-1.798451,1.000000,1.000000
-1.883887,-1.797098,1.000000,1.000000
-1.885288,-1.798451,1.000000,1.000000
-1.882486,-1.795744,1.000000,1.000000
-1.883887,-1.799804,1.000000,1.000000
-1.885288,-1.791685,1.000000,1.000000
-1.895092,-1.799804,1.000000,1.000000
-1.881086,-1.798451,1.000000,1.000000
-1.883887,-1.797098,1.000000,1.000000
-1.882486,-1.797098,1.000000,1.000000
-1.886688,-1.788978,1.000000,1.000000
-1.886688,-1.798451,1.000000,1.000000
-1.882486,-1.795744,1.000000,1.000000
-1.882486,-1.797098,1.000000,1.000000
-1.886688,-1.795744,1.000000,1.000000
-1.886688,-1.797098,1.000000,1.000000
-1.886688,-1.799804,1.000000,1.000000
-1.885288,-1.797098,1.000000,1.000000
-1.883887,-1.799804,1.000000,1.000000
-1.883887,-1.797098,1.000000,1.000000
-1.883887,-1.793038,1.000000,1.000000
-1.885288,-1.790331,1.000000,1.000000
-1.883887,-1.797098,1.000000,1.000000
-1.882486,-1.790331,1.000000,1.000000
-1.881086,-1.797098,1.000000,1.000000
