Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
-1.729815,-1.956780,1.000000,1.000000
-1.727013,-1.954073,1.000000,1.000000
-1.732616,-1.954073,1.000000,1.000000
-1.727013,-1.956780,1.000000,1.000000
-1.727013,-1.954073,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.729815,-1.962193,1.000000,1.000000
-1.729815,-1.951367,1.000000,1.000000
-1.724212,-1.955426,1.000000,1.000000
-1.725613,-1.955426,1.000000,1.000000
-1.725613,-1.950013,1.000000,1.000000
-1.729815,-1.952720,1.000000,1.000000
-1.728414,-1.950013,1.000000,1.000000
-1.734016,-1.955426,1.000000,1.000000
-1.732616,-1.958133,1.000000,1.000000
-1.731215,-1.950013,1.000000,1.000000
-1.727013,-1.958133,1.000000,1.000000
-1.731215,-1.952720,1.000000,1.000000
-1.728414,-1.947307,1.000000,1.000000
-1.722811,-1.950013,1.000000,1.000000
-1.727013,-1.952720,1.000000,1.000000
-1.729815,-1.954073,1.000000,1.000000
-1.728414,-1.952720,1.000000,1.000000
-1.729815,-1.956780,1.000000,1.000000
-1.732616,-1.956780,1.000000,1.000000
-1.731215,-1.952720,1.000000,1.000000
-1.728414,-1.952720,1.000000,1.000000
-1.728414,-1.951367,1.000000,1.000000
-1.729815,-1.954073,1.000000,1.000000
-1.727013,-1.950013,1.000000,1.000000
-1.731215,-1.954073,1.000000,1.000000
-1.728414,-1.958133,1.000000,1.000000
-1.728414,-1.950013,1.000000,1.000000
-1.728414,-1.955426,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.732616,-1.951367,1.000000,1.000000
-1.728414,-1.955426,1.000000,1.000000
-1.728414,-1.951367,1.000000,1.000000
-1.732616,-1.951367,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.728414,-1.947307,1.000000,1.000000
-1.724212,-1.954073,1.000000,1.000000
-1.725613,-1.955426,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.728414,-1.950013,1.000000,1.000000
-1.729815,-1.954073,1.000000,1.000000
-1.731215,-1.955426,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.729815,-1.951367,1.000000,1.000000
-1.729815,-1.954073,1.000000,1.000000
-1.728414,-1.948660,1.000000,1.000000
-1.727013,-1.952720,1.000000,1.000000
-1.728414,-1.952720,1.000000,1.000000
-1.728414,-1.955426,1.000000,1.000000
-1.725613,-1.952720,1.000000,1.000000
-1.725613,-1.954073,1.000000,1.000000
-1.725613,-1.950013,1.000000,1.000000
-1.729815,-1.952720,1.000000,1.000000
-1.728414,-1.955426,1.000000,1.000000
-1.724212,-1.952720,1.000000,1.000000
-1.729815,-1.951367,1.000000,1.000000
-1.727013,-1.951367,1.000000,1.000000
-1.727013,-1.955426,1.000000,1.000000
-1.721411,-1.955426,1.000000,1.000000
-1.725613,-1.952720,1.000000,1.000000
-1.725613,-1.955426,1.000000,1.000000
-1.729815,-1.947307,1.000000,1.000000
-1.734016,-1.952720,1.000000,1.000000
-1.727013,-1.952720,1.000000,1.000000
-1.731215,-1.945954,1.000000,1.000000
-1.727013,-1.951367,1.000000,1.000000
-1.727013,-1.947307,1.000000,1.000000
-1.731215,-1.954073,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.731215,-1.952720,1.000000,1.000000
-1.727013,-1.954073,1.000000,1.000000
-1.729815,-1.950013,1.000000,1.000000
-1.722811,-1.954073,1.000000,1.000000
-1.727013,-1.948660,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.732616,-1.954073,1.000000,1.000000
-1.731215,-1.954073,1.000000,1.000000
-1.729815,-1.950013,1.000000,1.000000
-1.729815,-1.952720,1.000000,1.000000
-1.729815,-1.955426,1.000000,1.000000
-1.727013,-1.952720,1.000000,1.000000
-1.721411,-1.954073,1.000000,1.000000
-1.728414,-1.956780,1.000000,1.000000
-1.728414,-1.951367,1.000000,1.000000
-1.727013,-1.952720,1.000000,1.000000
-1.722811,-1.952720,1.000000,1.000000
-1.729815,-1.954073,1.000000,1.000000
-1.728414,-1.952720,1.000000,1.000000
-1.725613,-1.956780,1.000000,1.000000
-1.728414,-1.955426,1.000000,1.000000
-1.729815,-1.958133,1.000000,1.000000
-1.722811,-1.952720,1.000000,1.000000
-1.727013,-1.954073,1.000000,1.000000
-1.728414,-1.954073,1.000000,1.000000
-1.725613,-1.959486,1.000000,1.000000
-1.725613,-1.956780,1.000000,1.000000
