Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
-1.731215,0.050070,0.999981,1.000000
-1.734016,0.048717,0.999981,1.000000
-1.735417,0.048717,0.999963,1.000000
-1.728414,0.050070,0.999954,1.000000
-1.732616,0.051423,0.999944,1.000000
-1.732616,0.054129,0.999935,1.000000
-1.731215,0.054129,0.999916,1.000000
-1.734016,0.054129,0.999907,1.000000
-1.731215,0.051423,0.999898,1.000000
-1.727013,0.052776,0.999888,1.000000
-1.731215,0.056836,0.999870,1.000000
-1.734016,0.055483,0.999870,1.000000
-1.727013,0.052776,0.999851,1.000000
-1.732616,0.054129,0.999842,1.000000
-1.728414,0.059542,0.999833,1.000000
-1.734016,0.059542,0.999823,1.000000
-1.739619,0.054129,0.999805,1.000000
-1.734016,0.060896,0.999795,1.000000
-1.732616,0.058189,0.999786,1.000000
-1.732616,0.059542,0.999777,1.000000
-1.729815,0.062249,0.999758,1.000000
-1.725613,0.060896,0.999758,1.000000
-1.731215,0.063602,0.999740,1.000000
-1.732616,0.063602,0.999730,1.000000
-1.729815,0.071722,0.999721,1.000000
-1.734016,0.064955,0.999712,1.000000
-1.731215,0.064955,0.999693,0.999991
-1.728414,0.069015,0.999684,0.999991
-1.732616,0.066309,0.999675,0.999991
-1.735417,0.069015,0.999665,0.999991
-1.731215,0.066309,0.999647,0.999991
-1.729815,0.066309,0.999647,0.999991
-1.732616,0.070368,0.999628,0.999991
-1.734016,0.070368,0.999619,0.999991
-1.734016,0.074428,0.999610,0.999991
-1.732616,0.071722,0.999600,0.999991
-1.731215,0.071722,0.999582,0.999991
-1.728414,0.071722,0.999572,0.999991
-1.731215,0.073075,0.999563,0.999991
-1.735417,0.073075,0.999545,0.999991
-1.741020,0.077134,0.999535,0.999991
-1.734016,0.077134,0.999526,0.999991
-1.735417,0.077134,0.999517,0.999991
-1.735417,0.075781,0.999507,0.999991
-1.734016,0.081194,0.999498,0.999991
-1.736818,0.081194,0.999489,0.999991
-1.734016,0.081194,0.999470,0.999991
-1.731215,0.081194,0.999461,0.999991
-1.735417,0.077134,0.999452,0.999991
-1.729815,0.082547,0.999433,0.999991
-1.734016,0.083901,0.999424,0.999991
-1.741020,0.082547,0.999414,0.999991
-1.738218,0.082547,0.999405,0.999991
-1.735417,0.083901,0.999386,0.999991
-1.734016,0.086607,0.999386,0.999991
-1.729815,0.085254,0.999368,0.999991
-1.734016,0.094727,0.999359,0.999991
-1.732616,0.085254,0.999349,0.999991
-1.731215,0.087960,0.999340,0.999991
-1.728414,0.089314,0.999321,0.999991
-1.731215,0.090667,0.999312,0.999991
-1.728414,0.089314,0.999303,0.999991
-1.735417,0.089314,0.999284,0.999991
-1.736818,0.085254,0.999275,0.999991
-1.736818,0.087960,0.999275,0.999991
-1.736818,0.090667,0.999256,0.999991
-1.734016,0.090667,0.999247,0.999991
-1.732616,0.098786,0.999238,0.999991
-1.739619,0.094727,0.999228,0.999991
-1.735417,0.093373,0.999210,0.999991
-1.732616,0.093373,0.999201,0.999991
-1.734016,0.096080,0.999191,0.999991
-1.736818,0.097433,0.999173,0.999991
-1.738218,0.098786,0.999163,0.999991
-1.735417,0.094727,0.999154,0.999991
-1.735417,0.101493,0.999145,0.999991
-1.732616,0.096080,0.999126,0.999991
-1.738218,0.098786,0.999126,0.999991
-1.734016,0.108259,0.999108,0.999991
-1.735417,0.101493,0.999098,0.999991
-1.704603,0.102846,0.999089,0.999991
-1.732616,0.100140,0.999080,0.999991
-1.731215,0.101493,0.999061,0.999991
-1.731215,0.105552,0.999052,0.999991
-1.741020,0.102846,0.999043,0.999991
-1.732616,0.100140,0.999024,0.999991
