Load Cell1,Load Cell2,Muscle Length 1, Muscle Length2
0.123258,0.094727,1.000000,1.000000
0.124659,0.093373,1.000000,1.000000
0.121857,0.093373,1.000000,1.000000
0.120457,0.096080,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.121857,0.093373,1.000000,1.000000
0.121857,0.092020,1.000000,1.000000
0.124659,0.093373,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.113453,0.096080,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.121857,0.093373,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.121857,0.098786,1.000000,1.000000
0.120457,0.097433,1.000000,1.000000
0.121857,0.098786,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.121857,0.102846,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.121857,0.098786,1.000000,1.000000
0.126059,0.101493,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.120457,0.097433,1.000000,1.000000
0.120457,0.097433,1.000000,1.000000
0.123258,0.102846,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.128861,0.096080,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.124659,0.096080,1.000000,1.000000
0.124659,0.096080,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.121857,0.100139,1.000000,1.000000
0.121857,0.098786,1.000000,1.000000
0.120457,0.097433,1.000000,1.000000
0.124659,0.102846,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.119056,0.097433,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.123258,0.101493,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.121857,0.093373,1.000000,1.000000
0.120457,0.101493,1.000000,1.000000
0.126059,0.097433,1.000000,1.000000
0.126059,0.093373,1.000000,1.000000
0.121857,0.101493,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.121857,0.100139,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.124659,0.100139,1.000000,1.000000
0.120457,0.098786,1.000000,1.000000
0.121857,0.102846,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.126059,0.097433,1.000000,1.000000
0.126059,0.098786,1.000000,1.000000
0.126059,0.101493,1.000000,1.000000
0.120457,0.101493,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.120457,0.100139,1.000000,1.000000
0.126059,0.097433,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.121857,0.101493,1.000000,1.000000
0.121857,0.101493,1.000000,1.000000
0.119056,0.097433,1.000000,1.000000
0.120457,0.097433,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.126059,0.097433,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.121857,0.098786,1.000000,1.000000
0.121857,0.098786,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.123258,0.101493,1.000000,1.000000
0.124659,0.096080,1.000000,1.000000
0.123258,0.105552,1.000000,1.000000
0.123258,0.101493,1.000000,1.000000
0.126059,0.101493,1.000000,1.000000
0.123258,0.102846,1.000000,1.000000
0.123258,0.101493,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.120457,0.100139,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.127460,0.102846,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.120457,0.097433,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.117655,0.098786,1.000000,1.000000
0.121857,0.100139,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.121857,0.098786,1.000000,1.000000
0.126059,0.100139,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.126059,0.097433,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.121857,0.100139,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.124659,0.096080,1.000000,1.000000
0.119056,0.100139,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.130261,0.097433,1.000000,1.000000
0.126059,0.100139,1.000000,1.000000
0.124659,0.094727,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.124659,0.100139,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.120457,0.097433,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.121857,0.093373,1.000000,1.000000
0.121857,0.100139,1.000000,1.000000
0.123258,0.094727,1.000000,1.000000
0.124659,0.101493,1.000000,1.000000
0.124659,0.096080,1.000000,1.000000
0.126059,0.100139,1.000000,1.000000
0.124659,0.094727,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.124659,0.100139,1.000000,1.000000
0.121857,0.097433,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.123258,0.093373,1.000000,1.000000
0.126059,0.097433,1.000000,1.000000
0.119056,0.096080,1.000000,1.000000
0.126059,0.098786,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.124659,0.093373,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.124659,0.096080,1.000000,1.000000
0.126059,0.097433,1.000000,1.000000
0.123258,0.100139,1.000000,1.000000
0.124659,0.094727,1.000000,1.000000
0.126059,0.098786,1.000000,1.000000
0.126059,0.098786,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.124659,0.098786,1.000000,1.000000
0.123258,0.094727,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.127460,0.096080,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.121857,0.096080,1.000000,1.000000
0.126059,0.098786,1.000000,1.000000
0.123258,0.096080,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.124659,0.097433,1.000000,1.000000
0.123258,0.093373,1.000000,1.000000
0.123258,0.097433,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.123258,0.098786,1.000000,1.000000
0.123258,0.094727,1.000000,1.000000
0.126059,0.094727,1.000000,1.000000
0.128861,0.097433,1.000000,1.000000
0.127460,0.098786,1.000000,1.000000
0.128861,0.097433,1.000000,1.000000
0.126059,0.096080,1.000000,1.000000
0.128861,0.094727,1.000000,1.000000
